Inapc_1,iNapc1_BG,Inapc_2,iNapc2_BG,Inapc_3,iNapc3_BG,iNapc4,iNapc4_BG,iNapc5,iNapc5_BG,iNapc6,iNapc6_BG,iNapc7,iNapc7_BG,iNapc8,iNapc8_BG,iNapc9,iNapc9_BG,iNapc10,iNapc10_BG,iNapc11,iNapc11_BG,iNapc12,iNapc12_BG
7.86,0.236,9.665,0.215,8.265,0.215,16.287,0.174,2.427,1.391,9.079,0.25,10.362,0.484,15.342,0.438,8.475,0.328,15.263,0.443,7.25,0.455,6.006,0.989
7.886,0.285,9.64,0.208,8.188,0.208,16.102,0.215,2.464,1.281,9.091,0.328,10.168,0.438,15.542,0.531,8.556,0.422,15.315,0.545,7.247,0.42,6.135,1.091
7.778,0.181,9.528,0.181,8.334,0.181,15.916,0.229,2.429,1.281,9.036,0.266,10.233,0.297,15.496,0.641,8.408,0.484,15.125,0.489,7.264,0.557,6.036,1.011
7.816,0.194,9.678,0.181,8.245,0.181,15.676,0.236,2.367,1.484,8.963,0.203,10.781,0.484,15.331,0.391,8.398,0.375,15.136,0.432,7.204,0.477,6.081,0.898
7.776,0.132,9.752,0.153,8.167,0.153,15.457,0.188,2.48,1.188,9.044,0.234,10.151,0.375,15.149,0.531,8.452,0.312,15.299,0.307,7.174,0.511,6.065,0.966
7.791,0.236,9.462,0.194,8.19,0.194,15.182,0.201,2.454,1.297,9.038,0.25,10.498,0.422,15.2,0.422,8.302,0.406,15.173,0.591,7.222,0.375,6.03,1.136
7.691,0.292,9.645,0.201,8.227,0.201,14.977,0.208,2.227,1.297,9.17,0.203,10.333,0.438,14.954,0.578,8.332,0.375,15.021,0.614,7.191,0.455,5.991,1.011
7.717,0.215,9.481,0.25,8.156,0.25,14.541,0.153,2.456,1.109,9.234,0.25,10.206,0.375,14.837,0.422,8.327,0.438,15.028,0.523,7.165,0.523,5.954,1.045
7.675,0.16,9.478,0.174,8.039,0.174,14.289,0.257,2.357,1.297,8.984,0.156,10.144,0.312,15.006,0.547,8.363,0.375,14.946,0.409,7.213,0.58,5.975,1.023
7.693,0.215,9.565,0.236,8.139,0.236,14.061,0.271,2.338,1.266,8.983,0.172,10.187,0.453,14.783,0.5,8.309,0.578,14.854,0.477,7.028,0.545,6.074,1.102
7.698,0.257,9.359,0.201,8.069,0.201,13.832,0.236,2.254,1.156,9.094,0.188,9.934,8.547,14.654,0.516,8.243,0.297,14.934,0.545,7.093,0.523,6,1.034
7.674,0.208,9.375,0.236,8.055,0.236,14.129,0.188,2.371,1.25,8.976,0.266,10.238,0.406,14.456,0.609,8.2,0.516,14.669,0.534,6.982,0.489,6.013,0.864
7.572,0.16,9.339,0.181,7.987,0.181,13.898,0.306,2.307,1.312,9.055,0.328,9.592,0.469,14.221,0.453,8.209,0.453,14.677,0.386,7.032,0.398,5.953,0.955
7.615,0.215,9.226,0.201,7.95,0.201,13.742,0.257,2.225,1.172,9.097,0.266,9.624,0.219,14.226,0.641,8.231,0.5,14.702,0.466,6.884,0.455,6.049,0.966
7.655,0.278,9.359,0.146,8.087,0.146,13.68,0.271,2.336,1.109,9.141,0.172,9.668,0.484,14.113,0.438,8.098,0.469,14.515,0.375,6.924,0.443,5.932,1.193
7.648,0.194,9.281,0.167,8.044,0.167,13.35,0.194,2.357,1.453,9.059,0.25,9.525,0.375,13.917,0.625,8.128,0.484,14.298,0.534,6.958,0.409,5.854,0.977
7.534,0.25,9.269,0.188,8.023,0.188,13.363,0.257,2.322,1.188,9.032,0.172,9.873,0.359,13.771,0.469,8.114,0.484,14.293,0.375,6.761,0.625,5.863,1.193
