Inap1__1,iNap1_1_BG,Inap1__2,iNap1_2_BG,Inap1__3,iNap1_3_BG,iNap1_4,iNap1_4_BG,iNap1_5,iNap1_5_BG,iNap1_6,iNap1_6_BG,iNap1_7,iNap1_7_BG,iNap1_8,iNap1_8_BG,iNap1_9,iNap1_9_BG,iNap1_10,iNap1_10_BG,iNap1_11,iNap1_11_BG,iNap1_12,iNap1_12_BG,INap1_13,INap1_13_BG,INap1_14,INap1_14_BG,INap1_15,INap1_15_BG
12.871,0.205,16.796,0.212,16.607,0.167,12.228,0.167,11.293,0.167,8.423,0.188,6.431,0.188,9.846,0.146,9.222,0.354,9.516,0.375,18.506,0.639,26.399,0.639,20.273,0.417,24.859,0.417,6.384,0.367
13.1,0.227,17.036,0.295,17.183,0.25,12.282,0.25,11.19,0.25,8.38,0.229,6.242,0.229,9.928,0.229,9.265,0.292,9.059,0.417,18.739,0.444,26.216,0.444,20.283,0.37,24.736,0.37,6.317,0.408
13.794,0.197,16.92,0.212,18.507,0.229,12.543,0.229,11.087,0.229,8.495,0.271,6.222,0.271,10.005,0.271,9.288,0.521,8.144,0.438,18.69,0.546,25.865,0.546,20.367,0.38,24.789,0.38,6.216,0.367
14.532,0.311,16.732,0.205,19.26,0.229,12.873,0.229,11.257,0.229,8.419,0.146,6.212,0.146,10.326,0.167,9.458,0.479,3.284,0.542,18.773,0.519,25.77,0.519,20.311,0.444,24.653,0.444,6.328,0.449
15.485,0.152,16.577,0.22,20.113,0.146,13.072,0.146,11.277,0.146,8.448,0.188,6.067,0.188,10.595,0.167,9.461,0.583,11.174,0.479,18.65,0.556,25.59,0.556,20.087,0.352,24.585,0.352,6.386,0.347
16.253,0.25,16.495,0.212,20.487,0.188,13.298,0.188,11.508,0.188,8.336,0.146,6.108,0.146,10.869,0.167,9.462,0.521,13.123,0.312,18.518,0.435,25.331,0.435,20.014,0.481,24.502,0.481,6.244,0.245
16.621,0.25,16.775,0.242,20.72,0.104,13.563,0.104,11.667,0.104,8.054,0.229,5.977,0.229,11.089,0.208,9.505,0.562,14.004,0.5,18.559,0.491,25.331,0.491,20.041,0.444,24.375,0.444,6.2,0.408
17.142,0.174,16.667,0.182,21.011,0.375,13.578,0.375,11.982,0.375,8.064,0.354,6.038,0.354,11.365,0.146,9.531,0.625,14.268,0.458,18.53,0.491,25.011,0.491,20.369,0.417,24.624,0.417,6.322,0.347
17.432,0.265,16.632,0.28,21.33,0.208,13.978,0.208,12.134,0.208,8.273,0.188,6.065,0.188,11.538,0.271,9.507,0.521,14.106,0.604,18.439,0.472,25.362,0.472,20.435,0.38,24.555,0.38,6.234,0.408
17.903,0.235,16.821,0.258,21.314,0.188,14.124,0.188,12.441,0.188,8.45,0.208,6.068,0.208,11.817,0.25,9.475,0.792,13.132,0.5,18.631,0.5,24.819,0.5,21.117,0.361,24.521,0.361,6.196,0.408
17.984,0.227,16.836,0.174,21.779,0.167,13.965,0.167,13.024,0.167,8.26,0.167,6.149,0.167,12.023,0.125,9.58,0.354,11.992,0.354,18.158,0.546,25.037,0.546,21.538,0.435,24.345,0.435,6.282,0.388
18.254,0.174,16.929,0.227,21.393,0.25,13.832,0.25,13.103,0.25,8.085,0.188,6.284,0.188,12.209,0.271,9.618,0.604,9.979,0.5,18.052,0.546,24.863,0.546,22.104,0.63,24.491,0.63,6.278,0.531
18.322,0.159,16.741,0.167,21.669,0.125,14.149,0.125,13.417,0.125,8.279,0.125,5.996,0.125,12.381,0.208,9.705,0.354,7.805,0.458,17.969,0.5,25.112,0.5,22.173,0.398,24.684,0.398,6.365,0.408
