HyPer_1,HyPer1_BG,HyPer_2,HyPer2_BG,HyPer_3,HyPer3_BG,HyPer4,HyPer4_BG,HyPer5,HyPer5_BG,HyPer6,HyPer6_BG,HyPer7,HyPer7_BG,HyPer8,HyPer8_BG,HyPer9,HyPer9_BG,HyPer10,HyPer10_BG,HyPer11,HyPer11_BG,HyPer12,HyPer12_BG,HyPer13,HyPer13_BG,HyPer14,HyPer14_BG,HyPer15,HyPer15_BG,HyPer16,HyPer16_BG,HyPer17,HyPer17_BG,HyPer18,HyPer18_BG
6.824,0.409,5.33,1.094,3.65,0.439,10.917,1.166,10.071,0.788,9.967,0.644,6.502,0.329,12.515,0.226,8.065,0.28,7.351,0.31,6.642,0.31,5.024,0.176,10.746,1.269,10.125,1.269,11.298,0.634,10.166,0.607,16.521,0.607,14.244,0.225
6.818,0.452,5.373,1.047,3.653,0.462,10.841,1.247,10.084,0.727,10.028,0.614,6.517,0.358,12.298,0.258,7.874,0.347,7.305,0.329,6.704,0.329,5.09,0.197,10.942,1.28,10.198,1.28,11.167,0.63,10.303,0.604,16.416,0.604,14.118,0.246
6.851,0.499,5.346,1.064,3.652,0.472,11.038,1.208,10.154,0.753,10.083,0.7,6.475,0.366,12.223,0.282,7.792,0.299,7.343,0.331,6.698,0.331,5.119,0.174,10.903,1.257,10.248,1.257,11.081,0.651,10.181,0.517,16.513,0.517,14.26,0.267
6.817,0.481,5.342,1.113,3.619,0.444,11.03,1.253,10.11,0.658,10.071,0.744,6.529,0.332,12.228,0.282,7.842,0.322,7.451,0.282,6.739,0.282,5.165,0.215,11.171,1.292,10.326,1.292,11.16,0.628,10.215,0.67,16.597,0.67,14.201,0.233
6.855,0.522,5.366,1.031,3.618,0.441,11.045,1.132,10.233,0.817,10.192,0.63,6.528,0.287,12.061,0.271,7.761,0.287,7.363,0.299,6.91,0.299,5.221,0.148,11.187,1.28,10.371,1.28,11.086,0.707,10.339,0.539,16.711,0.539,14.29,0.219
6.897,0.437,5.371,0.971,3.618,0.405,11.459,1.295,10.733,0.727,10.248,0.667,6.577,0.332,12.084,0.25,7.718,0.329,7.357,0.391,6.8,0.391,5.281,0.181,11.486,1.278,10.446,1.278,11.076,0.607,10.289,0.548,16.856,0.548,14.751,0.264
7.112,0.499,5.443,1.006,3.698,0.421,12.014,1.142,11.427,0.727,10.289,0.686,6.559,0.353,11.812,0.258,7.579,0.299,7.417,0.285,6.833,0.285,5.309,0.155,11.765,1.343,10.637,1.343,11.054,0.68,10.516,0.591,17.388,0.591,15.713,0.24
7.403,0.481,5.511,1.053,3.766,0.419,12.628,1.218,12.135,0.688,10.339,0.695,6.64,0.35,11.838,0.274,7.584,0.296,7.456,0.312,6.813,0.312,5.474,0.13,12.266,1.299,10.858,1.299,11.025,0.643,10.83,0.6,17.855,0.6,16.468,0.211
7.712,0.532,5.63,1.055,3.908,0.444,13.46,1.287,12.951,0.661,10.686,0.681,6.767,0.337,11.668,0.279,7.518,0.28,7.594,0.306,7.045,0.306,5.654,0.197,12.851,1.317,11.237,1.317,10.986,0.647,11.151,0.62,18.371,0.62,17.227,0.258
7.909,0.517,5.694,1.099,3.973,0.404,13.952,1.258,13.774,0.658,11.054,0.63,6.958,0.374,11.645,0.279,7.509,0.234,7.676,0.315,7.15,0.315,5.837,0.197,13.439,1.227,11.502,1.227,11.202,0.591,11.445,0.607,18.881,0.607,17.998,0.254
